name,use,name_en,name_ch
A44.9,1,"Bartonellosis, unspecified",巴東菌症
A46,1,Erysipelas,丹毒
A48,0,"Other bacterial diseases, not elsewhere classified",其他細菌疾病，他處未歸類者
A48.0,1,Gas gangrene,氣性壞疽
A48.1,1,Legionnaires' disease,退伍軍人症
A48.2,1,Nonpneumonic Legionnaires' disease [Pontiac fever],非肺炎性退伍軍人病[Pontiac熱]
A48.3,1,Toxic shock syndrome,中毒性休克症候群
A48.4,1,Brazilian purpuric fever,巴西紫斑熱
A48.5,0,Other specified botulism,其他特定肉毒桿菌病
A48.51,1,Infant botulism,嬰兒型肉毒桿菌病
A48.52,1,Wound botulism,傷口性肉毒桿菌病
A48.8,1,Other specified bacterial diseases,其他特定細菌性疾病
A49,0,Bacterial infection of unspecified site,未明示部位之細菌感染
A49.0,0,"Staphylococcal infection, unspecified site",未明示部位之葡萄球菌感染
A49.01,1,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",甲氧西林敏感性金黃色葡萄球菌感染
A49.02,1,"Methicillin resistant Staphylococcus aureus infection, unspecified site",抗甲氧西林（抗藥性）金黃色葡萄球菌感染
A49.1,1,"Streptococcal infection, unspecified site",未明示部位之鏈球菌感染
A49.2,1,"Hemophilus influenzae infection, unspecified site",未明示部位之流行性感冒嗜血桿菌感染
A49.3,1,"Mycoplasma infection, unspecified site",未明示部位之黴漿菌感染
A49.8,1,Other bacterial infections of unspecified site,其他未明示部位之細菌感染
A49.9,1,"Bacterial infection, unspecified",細菌感染
A50,0,Congenital syphilis,先天性梅毒
A50.0,0,"Early congenital syphilis, symptomatic",有症狀之早期先天性梅毒
A50.01,1,Early congenital syphilitic oculopathy,早期先天性梅毒性眼病變
A50.02,1,Early congenital syphilitic osteochondropathy,早期先天性梅毒性骨軟骨病變
A50.03,1,Early congenital syphilitic pharyngitis,早期先天性梅毒性咽炎
A50.04,1,Early congenital syphilitic pneumonia,早期先天性梅毒性肺炎
A50.05,1,Early congenital syphilitic rhinitis,早期先天性梅毒性鼻炎
A50.06,1,Early cutaneous congenital syphilis,早期先天性皮膚梅毒
A50.07,1,Early mucocutaneous congenital syphilis,早期先天性皮膚黏膜梅毒
A50.08,1,Early visceral congenital syphilis,早期先天性內臟梅毒
A50.09,1,"Other early congenital syphilis, symptomatic",其他有症狀之早期先天性梅毒
A50.1,1,"Early congenital syphilis, latent",潛伏性之早期先天性梅毒
A50.2,1,"Early congenital syphilis, unspecified",早期先天性梅毒
A50.3,0,Late congenital syphilitic oculopathy,晚期先天梅毒性眼病變
A50.30,1,"Late congenital syphilitic oculopathy, unspecified",晚期先天梅毒性眼病變
A50.31,1,Late congenital syphilitic interstitial keratitis,晚期先天梅毒性間質角膜炎
A50.32,1,Late congenital syphilitic chorioretinitis,晚期先天梅毒性脈絡膜視網膜炎
A50.39,1,Other late congenital syphilitic oculopathy,其他晚期先天性梅毒眼病變
A50.4,0,Late congenital neurosyphilis [juvenile neurosyphilis],晚期先天性神經梅毒 [幼年神經梅毒]
A50.40,1,"Late congenital neurosyphilis, unspecified",晚期先天性神經梅毒
A50.41,1,Late congenital syphilitic meningitis,晚期先天性梅毒性腦膜炎
A50.42,1,Late congenital syphilitic encephalitis,晚期先天性梅毒性腦炎
A50.43,1,Late congenital syphilitic polyneuropathy,晚期先天性神經梅毒多神經病變
A50.44,1,Late congenital syphilitic optic nerve atrophy,晚期先天性梅毒視神經萎縮
A50.45,1,Juvenile general paresis,幼年全身性輕癱症
A50.49,1,Other late congenital neurosyphilis,其他晚期先天性神經梅毒
A50.5,0,"Other late congenital syphilis, symptomatic",有症狀之其他晚期先天性梅毒
A50.51,1,Clutton's joints,克勞頓氏關節
A50.52,1,Hutchinson's teeth,漢金森氏牙
A50.53,1,Hutchinson's triad,漢金森氏三聯症
A50.54,1,Late congenital cardiovascular syphilis,晚期先天性心血管梅毒
A50.55,1,Late congenital syphilitic arthropathy,晚期先天性梅毒關節病變
A50.56,1,Late congenital syphilitic osteochondropathy,晚期先天性梅毒骨軟骨病變
A50.57,1,Syphilitic saddle nose,梅毒性馬鞍鼻
A50.59,1,"Other late congenital syphilis, symptomatic",有症狀之其他晚期先天性梅毒
A50.6,1,"Late congenital syphilis, latent",潛伏性之晚期先天性梅毒
A50.7,1,"Late congenital syphilis, unspecified",晚期先天性梅毒
A50.9,1,"Congenital syphilis, unspecified",先天性梅毒
A51,0,Early syphilis,早期梅毒
A51.0,1,Primary genital syphilis,第一期(原發性)生殖器梅毒
A51.1,1,Primary anal syphilis,第一期(原發性)肛門梅毒
A51.2,1,Primary syphilis of other sites,其他部位第一期(原發性)梅毒
A51.3,0,Secondary syphilis of skin and mucous membranes,第二期(續發性)皮膚及黏膜梅毒
A51.31,1,Condyloma latum,扁平濕疣
A51.32,1,Syphilitic alopecia,梅毒性禿髮
A51.39,1,Other secondary syphilis of skin,其他第二期(續發性)皮膚梅毒
